epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1753.42,1.32476,3.36394,1.70485,0.58605,0.33587,0.34399,0.2055,1.54688,2.49038,2.08441,0.00999478,0.00333159,0.00999478,0.00333159,0.00999478,0.00333159,0.00999478,0.00333159
2,3293.56,1.31991,2.43263,1.68085,0.62102,0.44754,0.47003,0.30575,1.45322,2.05482,1.96054,0.0195989,0.00653296,0.0195989,0.00653296,0.0195989,0.00653296,0.0195989,0.00653296
3,4756.77,1.34766,2.30294,1.69413,0.58748,0.47124,0.463,0.30166,1.50166,2.05908,2.03863,0.028807,0.00960233,0.028807,0.00960233,0.028807,0.00960233,0.028807,0.00960233
4,6391.08,1.34874,2.11631,1.69393,0.58326,0.52866,0.50293,0.32891,1.47346,1.84393,1.98095,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,7814.7,1.30615,1.87167,1.65726,0.68084,0.52058,0.56703,0.36864,1.4185,1.71118,1.88888,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,9194.55,1.28291,1.74241,1.63423,0.71101,0.5451,0.58853,0.3874,1.41785,1.5153,1.88267,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,10563.4,1.25172,1.64486,1.61832,0.62152,0.58748,0.6067,0.3968,1.39492,1.49371,1.83846,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,12004.2,1.23189,1.57531,1.5946,0.67043,0.59735,0.62848,0.41977,1.36616,1.40488,1.8115,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,13499.7,1.22034,1.52237,1.58293,0.71984,0.61195,0.65406,0.43472,1.37237,1.31227,1.82913,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,15008.7,1.21211,1.47803,1.57711,0.71445,0.62784,0.66722,0.44592,1.35199,1.27212,1.78223,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,16423,1.19785,1.42705,1.56028,0.68613,0.60862,0.65447,0.44061,1.34558,1.30532,1.78034,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,17889.3,1.18254,1.41405,1.56115,0.80818,0.61424,0.67612,0.45266,1.34164,1.27689,1.7834,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,19341.6,1.18214,1.36869,1.55696,0.71624,0.64154,0.67383,0.4544,1.32784,1.26945,1.76352,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,20678.3,1.16851,1.33914,1.54731,0.72859,0.62791,0.67528,0.4546,1.31713,1.22912,1.75654,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,22170.4,1.16186,1.3215,1.54183,0.68681,0.65337,0.68434,0.4625,1.30946,1.20564,1.72885,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,23559.3,1.15694,1.29613,1.53002,0.72434,0.66125,0.68994,0.4702,1.29198,1.19367,1.71832,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,25044.3,1.15391,1.27399,1.5294,0.7178,0.63001,0.68497,0.46773,1.31211,1.20803,1.72707,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,26497.6,1.14228,1.26451,1.52591,0.74824,0.65974,0.69957,0.48141,1.27107,1.13797,1.6922,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,27821.4,1.13761,1.24758,1.51849,0.74686,0.67361,0.70474,0.47897,1.29271,1.18431,1.70739,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,29335,1.13857,1.23523,1.52042,0.73331,0.67124,0.70242,0.48108,1.29725,1.13931,1.71916,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,30793.9,1.12814,1.20342,1.5174,0.75621,0.67836,0.70765,0.49016,1.26713,1.15028,1.69144,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,32284.4,1.11456,1.19422,1.50561,0.75164,0.66422,0.70154,0.47969,1.28357,1.13589,1.69204,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,33812.4,1.11459,1.17654,1.50291,0.75311,0.68897,0.71278,0.48847,1.27551,1.09823,1.69072,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,35303.5,1.10941,1.16502,1.49835,0.70997,0.67988,0.70941,0.49597,1.25166,1.10397,1.67145,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,36822.9,1.10117,1.1545,1.4901,0.80174,0.65727,0.71361,0.49408,1.26022,1.10086,1.68427,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,38301.6,1.10548,1.14421,1.4869,0.72308,0.68967,0.71849,0.49543,1.26591,1.1035,1.68076,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,39823.4,1.10365,1.1355,1.49341,0.7298,0.70109,0.72174,0.50063,1.25382,1.07212,1.66675,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,41251.8,1.09395,1.11781,1.48381,0.76817,0.69121,0.71991,0.49396,1.25647,1.08821,1.66045,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,1602.83,1.08568,1.10363,1.47904,0.73589,0.69341,0.72294,0.50137,1.25545,1.066,1.66569,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3229.01,1.08417,1.09385,1.47031,0.73761,0.69488,0.72254,0.49689,1.25732,1.07284,1.66209,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
